quote_uuid,quote_text,author
f98ce549-0554-4b80-992a-5dfe23bb705b,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
661e1d4b-10cf-4800-92b1-f94000e118eb,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
6d14094d-50ee-4a19-b9f2-41694d916909,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
72ea2230-6bed-403f-81c7-f771e8ac0d2b,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
29b67fc8-d7de-42d7-925b-43e95eb273b1,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
6f414d8b-8a5c-4f68-81ec-57758a65aa23,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
6752906f-7eb7-43f9-9255-12232fcb4055,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
8839b263-96ff-4938-8046-877f145f33d6,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
c16eb524-4e29-4bb7-a8a9-4be6f6085e7f,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
b9912bbd-fa64-449d-916b-dbc1d9adfc17,"“A day without sunshine is like, you know, night.”",Steve Martin
