quote_uuid,tag
2b8bd66c-e869-4520-8a9e-fabfca9710f0,change
2b8bd66c-e869-4520-8a9e-fabfca9710f0,deep-thoughts
2b8bd66c-e869-4520-8a9e-fabfca9710f0,thinking
2b8bd66c-e869-4520-8a9e-fabfca9710f0,world
024deee4-3274-417e-9789-4579c28b723a,abilities
024deee4-3274-417e-9789-4579c28b723a,choices
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,inspirational
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,life
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,live
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,miracle
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,miracles
7a58c5ea-26fa-4596-a3a3-fa6212800998,aliteracy
7a58c5ea-26fa-4596-a3a3-fa6212800998,books
7a58c5ea-26fa-4596-a3a3-fa6212800998,classic
7a58c5ea-26fa-4596-a3a3-fa6212800998,humor
6a417207-ae66-4c62-9ffe-59d9f4ed35ef,be-yourself
6a417207-ae66-4c62-9ffe-59d9f4ed35ef,inspirational
ee477327-86e2-4bf9-909b-9a910d06e634,adulthood
ee477327-86e2-4bf9-909b-9a910d06e634,success
ee477327-86e2-4bf9-909b-9a910d06e634,value
58ed040a-11a2-4a68-9296-6709143f5854,life
58ed040a-11a2-4a68-9296-6709143f5854,love
5b6d78af-afbb-4741-9c29-16437050d289,edison
5b6d78af-afbb-4741-9c29-16437050d289,failure
5b6d78af-afbb-4741-9c29-16437050d289,inspirational
5b6d78af-afbb-4741-9c29-16437050d289,paraphrased
7741ba7b-1661-4c99-93f8-7787c9687426,misattributed-eleanor-roosevelt
66548388-0836-4a45-a271-ca125c4ecec5,humor
66548388-0836-4a45-a271-ca125c4ecec5,obvious
66548388-0836-4a45-a271-ca125c4ecec5,simile
1906d818-7919-42e1-851e-a0bd3d4d3e59,friends
1906d818-7919-42e1-851e-a0bd3d4d3e59,heartbreak
1906d818-7919-42e1-851e-a0bd3d4d3e59,inspirational
1906d818-7919-42e1-851e-a0bd3d4d3e59,life
1906d818-7919-42e1-851e-a0bd3d4d3e59,love
1906d818-7919-42e1-851e-a0bd3d4d3e59,sisters
4a900efb-3f6f-4f4b-b883-90258447ee4a,courage
4a900efb-3f6f-4f4b-b883-90258447ee4a,friends
ee805129-ebb6-4e20-b7b2-719f7d65c581,simplicity
ee805129-ebb6-4e20-b7b2-719f7d65c581,understand
56cfb01c-33e9-49d9-a56f-45966f6d4bf5,love
005ff47e-0c4e-4fb8-951d-3a537731e365,fantasy
