quote_uuid,quote_text,author
2b8bd66c-e869-4520-8a9e-fabfca9710f0,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
024deee4-3274-417e-9789-4579c28b723a,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
d1d0d995-1fa5-4e43-95e1-9eb58c4a7808,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
7a58c5ea-26fa-4596-a3a3-fa6212800998,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
6a417207-ae66-4c62-9ffe-59d9f4ed35ef,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
ee477327-86e2-4bf9-909b-9a910d06e634,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
58ed040a-11a2-4a68-9296-6709143f5854,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
5b6d78af-afbb-4741-9c29-16437050d289,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
7741ba7b-1661-4c99-93f8-7787c9687426,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
66548388-0836-4a45-a271-ca125c4ecec5,"“A day without sunshine is like, you know, night.”",Steve Martin
1906d818-7919-42e1-851e-a0bd3d4d3e59,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
